Dependents,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Loan_Amount_Log,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
0.0,6000,2250,265.0,360.0,1.0,5.579729825986222,False,True,False,True,True,False,True,False,False,True,False,0
0.0,2958,2900,131.0,360.0,1.0,4.875197323201151,False,True,False,True,True,False,True,False,False,True,False,1
2.0,6250,1695,210.0,360.0,1.0,5.3471075307174685,False,True,False,True,True,False,True,False,False,True,False,1
0.0,2083,3150,128.0,360.0,1.0,4.852030263919617,False,True,False,True,True,False,True,False,False,True,False,1
0.0,4166,0,98.0,360.0,0.0,4.584967478670572,False,True,True,False,True,False,True,False,False,True,False,0
0.0,19730,5266,570.0,360.0,1.0,6.345636360828596,False,True,False,True,True,False,True,False,True,False,False,0
3.0,3333,2166,130.0,360.0,1.0,4.867534450455582,False,True,False,True,False,True,False,True,False,True,False,1
2.0,3365,1917,112.0,360.0,0.0,4.718498871295094,False,True,False,True,False,True,True,False,True,False,False,0
0.0,3625,0,108.0,360.0,1.0,4.68213122712422,True,False,False,True,True,False,True,False,False,True,False,1
0.0,9508,0,187.0,360.0,1.0,5.231108616854587,False,True,True,False,True,False,True,False,True,False,False,1
1.0,5285,1430,161.0,360.0,0.0,5.081404364984463,False,True,False,True,False,True,True,False,False,True,False,1
2.0,6125,1625,187.0,480.0,1.0,5.231108616854587,False,True,False,True,False,True,True,False,False,True,False,0
0.0,2920,16,87.0,360.0,1.0,4.465908118654584,False,True,False,True,True,False,True,False,True,False,False,1
0.0,3707,3166,182.0,360.0,1.0,5.204006687076795,False,True,False,True,True,False,True,False,True,False,False,1
0.0,6256,0,160.0,360.0,1.0,5.075173815233827,False,True,False,True,True,False,True,False,False,False,True,1
2.0,17500,0,400.0,360.0,1.0,5.991464547107982,False,True,False,True,True,False,False,True,True,False,False,1
1.0,12841,10968,349.0,360.0,1.0,5.855071922202427,False,True,False,True,True,False,True,False,False,True,False,0
0.0,4750,2333,130.0,360.0,1.0,4.867534450455582,False,True,False,True,True,False,True,False,False,False,True,1
2.0,4583,2083,160.0,360.0,1.0,5.075173815233827,False,True,False,True,True,False,False,True,False,True,False,1
1.0,4606,0,81.0,360.0,1.0,4.394449154672439,True,False,True,False,False,True,True,False,True,False,False,0
3.0,416,41667,350.0,180.0,1.0,5.857933154483459,True,False,True,False,True,False,True,False,False,False,True,0
0.0,7167,0,128.0,360.0,1.0,4.852030263919617,False,True,True,False,True,False,False,True,False,False,True,1
1.0,3988,0,50.0,240.0,1.0,3.912023005428146,False,True,False,True,True,False,True,False,False,False,True,1
0.0,4095,3447,151.0,360.0,1.0,5.017279836814924,False,True,True,False,True,False,True,False,True,False,False,1
0.0,11000,0,83.0,360.0,1.0,4.418840607796598,False,True,True,False,True,False,False,True,False,False,True,0
0.0,9963,0,180.0,360.0,1.0,5.19295685089021,False,True,False,True,True,False,False,True,True,False,False,1
0.0,2550,2042,126.0,360.0,1.0,4.836281906951478,False,True,True,False,False,True,True,False,True,False,False,1
2.0,210,2917,98.0,360.0,1.0,4.584967478670572,True,False,False,True,False,True,True,False,False,True,False,1
0.0,3166,0,36.0,360.0,1.0,3.58351893845611,True,False,False,True,True,False,True,False,False,True,False,1
2.0,4400,0,127.0,360.0,0.0,4.844187086458591,False,True,False,True,True,False,True,False,False,True,False,0
0.0,3750,0,113.0,480.0,1.0,4.727387818712341,False,True,True,False,True,False,True,False,False,False,True,0
2.0,3273,1820,81.0,360.0,1.0,4.394449154672439,False,True,False,True,False,True,True,False,False,False,True,1
0.0,4000,2500,140.0,360.0,1.0,4.941642422609304,False,True,True,False,True,False,True,False,True,False,False,1
3.0,7100,0,125.0,60.0,1.0,4.8283137373023015,False,True,False,True,False,True,False,True,False,False,True,1
0.0,4950,0,125.0,360.0,1.0,4.8283137373023015,False,True,True,False,True,False,True,False,False,False,True,1
3.0,3430,1250,128.0,360.0,0.0,4.852030263919617,False,True,False,True,True,False,True,False,False,True,False,0
0.0,3418,0,135.0,360.0,1.0,4.90527477843843,True,False,True,False,True,False,True,False,True,False,False,0
0.0,8566,0,210.0,360.0,1.0,5.3471075307174685,False,True,True,False,True,False,True,False,False,False,True,1
0.0,5815,3666,311.0,360.0,1.0,5.739792912179234,False,True,True,False,True,False,True,False,True,False,False,0
1.0,2214,1398,85.0,360.0,1.0,4.442651256490317,False,True,False,True,True,False,True,False,False,False,True,1
