Credit_History,Loan_Amount_Log,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Total_Income,Total_Income_Log,EMI,Income_After_EMI,Dependents_0.0,Dependents_1.0,Dependents_2.0,Dependents_3.0,Loan_Status
1.0,5.579729825986222,False,True,False,True,True,False,True,False,False,True,False,8250,9.017968479328726,0.7361111111111112,7513.888888888889,True,False,False,False,0
1.0,4.875197323201151,False,True,False,True,True,False,True,False,False,True,False,5858,8.675563527387679,0.3638888888888889,5494.111111111111,True,False,False,False,1
1.0,5.3471075307174685,False,True,False,True,True,False,True,False,False,True,False,7945,8.980298078970817,0.5833333333333334,7361.666666666667,False,False,True,False,1
1.0,4.852030263919617,False,True,False,True,True,False,True,False,False,True,False,5233,8.562740006372207,0.35555555555555557,4877.444444444444,True,False,False,False,1
0.0,4.584967478670572,False,True,True,False,True,False,True,False,False,True,False,4166,8.334711621820917,0.2722222222222222,3893.777777777778,True,False,False,False,0
1.0,6.345636360828596,False,True,False,True,True,False,True,False,True,False,False,24996,10.126471091048971,1.5833333333333333,23412.666666666668,True,False,False,False,0
1.0,4.867534450455582,False,True,False,True,False,True,False,True,False,True,False,5499,8.612321536507814,0.3611111111111111,5137.888888888889,False,False,False,True,1
0.0,4.718498871295094,False,True,False,True,False,True,True,False,True,False,False,5282,8.572060092857077,0.3111111111111111,4970.888888888889,False,False,True,False,0
1.0,4.68213122712422,True,False,False,True,True,False,True,False,False,True,False,3625,8.195609567288775,0.3,3325.0,True,False,False,False,1
1.0,5.231108616854587,False,True,True,False,True,False,True,False,True,False,False,9508,9.159888828480085,0.5194444444444445,8988.555555555555,True,False,False,False,1
0.0,5.081404364984463,False,True,False,True,False,True,True,False,False,True,False,6715,8.812099108957337,0.44722222222222224,6267.777777777777,False,True,False,False,1
1.0,5.231108616854587,False,True,False,True,False,True,True,False,False,True,False,7750,8.955448122347393,0.38958333333333334,7360.416666666667,False,False,True,False,0
1.0,4.465908118654584,False,True,False,True,True,False,True,False,True,False,False,2936,7.984803389734406,0.24166666666666667,2694.3333333333335,True,False,False,False,1
1.0,5.204006687076795,False,True,False,True,True,False,True,False,True,False,False,6873,8.835355971121606,0.5055555555555555,6367.444444444444,True,False,False,False,1
1.0,5.075173815233827,False,True,False,True,True,False,True,False,False,False,True,6256,8.741296282225147,0.4444444444444444,5811.555555555556,True,False,False,False,1
1.0,5.991464547107982,False,True,False,True,True,False,False,True,True,False,False,17500,9.769956159911606,1.1111111111111112,16388.88888888889,False,False,True,False,1
1.0,5.855071922202427,False,True,False,True,True,False,True,False,False,True,False,23809,10.077818939438902,0.9694444444444444,22839.555555555555,False,True,False,False,0
1.0,4.867534450455582,False,True,False,True,True,False,True,False,False,False,True,7083,8.865452825753623,0.3611111111111111,6721.888888888889,True,False,False,False,1
1.0,5.075173815233827,False,True,False,True,True,False,False,True,False,True,False,6666,8.804775258867686,0.4444444444444444,6221.555555555556,False,False,True,False,1
1.0,4.394449154672439,True,False,True,False,False,True,True,False,True,False,False,4606,8.43511508038063,0.225,4381.0,False,True,False,False,0
1.0,5.857933154483459,True,False,True,False,True,False,True,False,False,False,True,42083,10.647399137646048,1.9444444444444444,40138.555555555555,False,False,False,True,0
1.0,4.852030263919617,False,True,True,False,True,False,False,True,False,False,True,7167,8.877242435993919,0.35555555555555557,6811.444444444444,True,False,False,False,1
1.0,3.912023005428146,False,True,False,True,True,False,True,False,False,False,True,3988,8.291045131081729,0.20833333333333334,3779.6666666666665,False,True,False,False,1
1.0,5.017279836814924,False,True,True,False,True,False,True,False,True,False,False,7542,8.928242677818302,0.41944444444444445,7122.555555555556,True,False,False,False,1
1.0,4.418840607796598,False,True,True,False,True,False,False,True,False,False,True,11000,9.305650551780507,0.23055555555555557,10769.444444444445,True,False,False,False,0
1.0,5.19295685089021,False,True,False,True,True,False,False,True,True,False,False,9963,9.206633510044856,0.5,9463.0,True,False,False,False,1
1.0,4.836281906951478,False,True,True,False,False,True,True,False,True,False,False,4592,8.432070937999402,0.35,4242.0,True,False,False,False,1
1.0,4.584967478670572,True,False,False,True,False,True,True,False,False,True,False,3127,8.047829357457841,0.2722222222222222,2854.777777777778,False,False,True,False,1
1.0,3.58351893845611,True,False,False,True,True,False,True,False,False,True,False,3166,8.060224240440958,0.1,3066.0,True,False,False,False,1
0.0,4.844187086458591,False,True,False,True,True,False,True,False,False,True,False,4400,8.389359819906353,0.3527777777777778,4047.222222222222,False,False,True,False,0
1.0,4.727387818712341,False,True,True,False,True,False,True,False,False,False,True,3750,8.229511118964457,0.23541666666666666,3514.5833333333335,True,False,False,False,0
1.0,4.394449154672439,False,True,False,True,False,True,True,False,False,False,True,5093,8.535622326884605,0.225,4868.0,False,False,True,False,1
1.0,4.941642422609304,False,True,True,False,True,False,True,False,True,False,False,6500,8.779557455883728,0.3888888888888889,6111.111111111111,True,False,False,False,1
1.0,4.8283137373023015,False,True,False,True,False,True,False,True,False,False,True,7100,8.867850063029406,2.0833333333333335,5016.666666666666,False,False,False,True,1
1.0,4.8283137373023015,False,True,True,False,True,False,True,False,False,False,True,4950,8.507142855562735,0.3472222222222222,4602.777777777777,True,False,False,False,1
0.0,4.852030263919617,False,True,False,True,True,False,True,False,False,True,False,4680,8.451053388911692,0.35555555555555557,4324.444444444444,False,False,False,True,0
1.0,4.90527477843843,True,False,True,False,True,False,True,False,True,False,False,3418,8.136810863675537,0.375,3043.0,True,False,False,False,0
1.0,5.3471075307174685,False,True,True,False,True,False,True,False,False,False,True,8566,9.055556158175316,0.5833333333333334,7982.666666666667,True,False,False,False,1
1.0,5.739792912179234,False,True,True,False,True,False,True,False,True,False,False,9481,9.15704507491796,0.8638888888888889,8617.111111111111,True,False,False,False,0
1.0,4.442651256490317,False,True,False,True,True,False,True,False,False,False,True,3612,8.192016914536875,0.2361111111111111,3375.8888888888887,False,True,False,False,1
1.0,4.90527477843843,False,True,False,True,True,False,True,False,False,True,False,3760,8.23217423638394,0.375,3385.0,False,False,True,False,1
1.0,4.927253685157205,False,True,False,True,True,False,True,False,False,True,False,4663,8.44741429680832,0.38333333333333336,4279.666666666667,True,False,False,False,1
1.0,4.736198448394496,False,True,False,True,True,False,True,False,False,True,False,5167,8.550047528287184,0.31666666666666665,4850.333333333333,True,False,False,False,1
1.0,4.852030263919617,False,True,True,False,True,False,True,False,False,False,True,5849,8.674025985443025,0.35555555555555557,5493.444444444444,True,False,False,False,1
1.0,5.056245805348308,False,True,False,True,False,True,True,False,True,False,False,5398,8.59378379357795,0.4361111111111111,4961.888888888889,False,False,True,False,1
